iter	Passed	Remaining
0	168	168794
1	171	85448
2	173	57584
3	175	43623
4	177	35412
5	179	29815
6	182	25853
7	184	22859
8	186	20529
9	188	18655
10	190	17161
11	193	15906
12	195	14819
13	197	13889
14	199	13078
15	201	12383
16	203	11762
17	205	11226
18	207	10735
19	209	10285
20	211	9881
21	214	9520
22	216	9188
23	218	8890
24	220	8608
25	222	8341
26	224	8106
27	227	7892
28	229	7681
29	231	7484
30	234	7317
31	236	7142
32	238	6975
33	239	6818
34	241	6665
35	243	6523
36	245	6385
37	247	6272
38	249	6145
39	250	6022
40	252	5900
41	253	5785
42	254	5674
43	256	5568
44	257	5466
45	258	5366
46	259	5271
47	262	5201
48	263	5116
49	264	5030
50	266	4951
51	267	4875
52	268	4800
53	269	4725
54	270	4652
55	271	4582
56	272	4514
57	274	4450
58	275	4391
59	276	4331
60	277	4271
61	278	4211
62	279	4153
63	280	4104
64	281	4052
65	282	4001
66	283	3949
67	284	3901
68	285	3853
69	286	3806
70	287	3762
71	288	3721
72	290	3688
73	291	3652
74	293	3614
75	294	3575
76	295	3538
77	296	3503
78	297	3469
79	298	3436
80	299	3402
81	300	3369
82	301	3330
83	302	3298
84	303	3267
85	305	3244
86	306	3215
87	307	3187
88	308	3161
89	309	3134
90	310	3106
91	312	3079
92	313	3054
93	314	3027
94	315	3001
95	316	2977
96	317	2953
97	318	2929
98	319	2911
99	321	2891
100	322	2869
101	323	2847
102	324	2825
103	325	2804
104	326	2783
105	327	2762
106	328	2742
107	329	2722
108	330	2703
109	331	2684
110	332	2665
111	333	2647
112	335	2631
113	336	2613
114	337	2596
115	338	2579
116	339	2560
117	340	2544
118	341	2528
119	342	2511
120	343	2495
121	344	2477
122	345	2462
123	346	2447
124	347	2431
125	348	2416
126	349	2402
127	350	2389
128	351	2375
129	352	2360
130	353	2346
131	354	2334
132	355	2320
133	356	2306
134	358	2294
135	359	2280
136	360	2268
137	361	2256
138	362	2244
139	363	2232
140	364	2221
141	365	2208
142	366	2197
143	367	2185
144	368	2173
145	369	2162
146	370	2151
147	371	2140
148	372	2129
149	373	2117
150	374	2106
151	375	2097
152	377	2088
153	378	2079
154	380	2071
155	381	2064
156	382	2056
157	384	2047
158	385	2040
159	388	2037
160	389	2027
161	390	2020
162	391	2011
163	392	2002
164	394	1998
165	396	1992
166	397	1983
167	398	1975
168	400	1966
169	400	1957
170	402	1949
171	403	1940
172	404	1932
173	405	1923
174	406	1915
175	407	1907
176	408	1900
177	410	1894
178	411	1887
179	412	1880
180	413	1871
181	414	1863
182	415	1856
183	416	1847
184	417	1839
185	418	1831
186	419	1824
187	420	1816
188	421	1808
189	422	1802
190	424	1796
191	425	1791
192	426	1784
193	427	1776
194	428	1770
195	429	1763
196	430	1755
197	431	1749
198	432	1742
199	433	1735
